user_id,name,email,course_id,course_title,steps_completed,steps_total,course_completed,course_completed_on,course_started_on,course_total_time_on,course_last_step_id,course_last_step_type,course_last_step_title,last_login_date
2106,student-fullname19,test@myemail.com,14494,Python căn bản,45,102,NO,,2021-08-18,4d 14h 40m 49s,14495,Lesson,Nhập môn lập trình Python,2021-08-15
2118,student-fullname20,test@myemail.com,14494,Python căn bản,39,102,NO,,2021-08-21,,16476,Quiz,[Quiz] Ôn tập cấu trúc lặp for,2021-08-21
2120,student-fullname21,test@myemail.com,14494,Python căn bản,42,102,NO,,2021-08-18,30m 2s,16456,Topic,[Thực hành] Sử dụng vòng lặp lồng nhau để vẽ hình,2021-08-22
1831,student-fullname22,test@myemail.com,14494,Python căn bản,0,102,NO,,,,,,,2021-07-31
2108,student-fullname23,test@myemail.com,14494,Python căn bản,71,102,NO,,2021-08-21,10m 29s,16627,Topic,[Thực hành] Tạo máy tính đơn giản,2021-08-21
2131,student-fullname24,test@myemail.com,14494,Python căn bản,21,102,NO,,2021-08-11,9d 22h 13m 59s,16540,Topic,[Bài đọc] Phạm vi biến,2021-08-21
2121,student-fullname25,test@myemail.com,14494,Python căn bản,0,102,NO,,2021-08-10,,14557,Topic,[Thực hành] Chạy ứng dụng Python đầu tiên,2021-08-03
2117,student-fullname26,test@myemail.com,14494,Python căn bản,21,102,NO,,2021-08-21,1d 4h 11m 26s,15386,Topic,[Bai đọc] String,2021-08-22
2125,student-fullname27,test@myemail.com,14494,Python căn bản,49,102,NO,,2021-08-20,27m 6s,16462,Topic,[Thực hành] Vẽ hình chữ nhật bằng ký tự,2021-08-17
2109,student-fullname28,test@myemail.com,14494,Python căn bản,50,102,NO,,2021-08-22,,16476,Quiz,[Quiz] Ôn tập cấu trúc lặp for,2021-08-21
2130,student-fullname29,test@myemail.com,14494,Python căn bản,50,102,NO,,2021-08-17,2d 8h 29m 2s,16462,Topic,[Thực hành] Vẽ hình chữ nhật bằng ký tự,2021-08-21
2104,student-fullname30,test@myemail.com,14494,Python căn bản,55,102,NO,,2021-08-19,,16476,Quiz,[Quiz] Ôn tập cấu trúc lặp for,2021-08-21
2127,student-fullname31,test@myemail.com,14494,Python căn bản,13,102,NO,,2021-08-17,,15579,Quiz,[Quiz] Cấu trúc điều kiện,2021-08-21
1644,student-fullname32,test@myemail.com,14494,Python căn bản,11,102,NO,,2021-08-07,2d 3h 4m 51s,335,Topic,[Thực hành] Thuật toán chuyển đổi nhiệt độ,2021-08-07
2122,student-fullname33,test@myemail.com,14494,Python căn bản,1,102,NO,,2021-08-05,,14976,Quiz,[Quiz] Thuật toán,2021-08-21



2116,student-fullname34,test@myemail.com,14494,Python căn bản,38,102,NO,,2021-08-14,7d 48m 23s,16118,Topic,[Thực hành] Vẽ hình vuông sử dụng vòng lặp while,2021-08-12
2132,student-fullname35,test@myemail.com,14494,Python căn bản,49,102,NO,,2021-08-19,28m 41s,16540,Topic,[Bài đọc] Phạm vi biến,2021-08-19
2124,student-fullname36,test@myemail.com,14494,Python căn bản,46,102,NO,,2021-08-20,,16476,Quiz,[Quiz] Ôn tập cấu trúc lặp for,2021-08-22
